Location,Date,Product_ID,Product_Name,Brand,Quantity (liters/kg),MRP,Total_Value,Shelf_Life (days),Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold (liters/kg),Price_per_Unit (sold),Approx_Total_Revenue(INR),Customer_Location,Sales_Channel,Quantity_in_Stock (liters/kg)
Gujarat,2/2/2019,3,Cheese,Passion Cheese,622.13,53.28,33147.0864,58,Refrigerated,1/8/2019,3/7/2019,360,51.36,18489.6,Bihar,Wholesale,262
Tamil Nadu,3/10/2020,5,Ice Cream,Dodla Dairy,15.89,52.31,831.2059,27,Frozen,1/24/2020,2/20/2020,13,51.86,674.18,Delhi,Retail,2
Madhya Pradesh,9/15/2019,2,Butter,Warana,881.3,83.25,73368.225,36,Frozen,9/5/2019,10/11/2019,125,86.81,10851.25,Uttar Pradesh,Retail,756
Chandigarh,4/27/2021,1,Milk,Sudha,316.7,44.56,14112.152,22,Tetra Pack,4/26/2021,5/18/2021,121,45.05,5451.05,Delhi,Online,195
Maharashtra,5/13/2020,3,Cheese,Passion Cheese,589.89,10.97,6471.0933,45,Refrigerated,3/31/2020,5/15/2020,553,11.7,6470.1,Kerala,Online,36
Jharkhand,4/21/2019,8,Buttermilk,Amul,612.49,70.02,42886.5498,7,Refrigerated,3/26/2019,4/2/2019,461,66.57,30688.77,Kerala,Wholesale,151
Madhya Pradesh,5/13/2022,4,Yogurt,Dodla Dairy,816.23,29.53,24103.2719,28,Refrigerated,5/9/2022,6/6/2022,1,26.77,26.77,Telangana,Wholesale,815
Bihar,2/14/2021,6,Curd,Raj,744.9,68.75,51211.875,6,Refrigerated,1/13/2021,1/19/2021,622,63.82,39696.04,Delhi,Retail,122
West Bengal,6/28/2019,5,Ice Cream,Amul,930.2,74.28,69095.256,25,Frozen,6/7/2019,7/2/2019,601,75.83,45573.83,Karnataka,Online,329
Tamil Nadu,7/17/2022,3,Cheese,Britannia Industries,55.18,82.07,4528.6226,65,Frozen,6/19/2022,8/23/2022,45,79.03,3556.35,Uttar Pradesh,Wholesale,10
West Bengal,11/8/2020,1,Milk,Mother Dairy,913.18,70.04,63959.1272,22,Tetra Pack,10/21/2020,11/12/2020,692,68.42,47346.64,Madhya Pradesh,Retail,221
Karnataka,1/12/2020,9,Paneer,Amul,764.09,24.14,18445.1326,13,Refrigerated,11/24/2019,12/7/2019,390,22.91,8934.9,Chandigarh,Retail,374
Bihar,9/3/2022,7,Lassi,Mother Dairy,127.03,83.72,10634.9516,16,Refrigerated,8/30/2022,9/15/2022,23,83.62,1923.26,Uttar Pradesh,Online,104
Telangana,7/19/2020,1,Milk,Raj,375.27,62.62,23499.4074,2,Polythene Packet,6/4/2020,6/6/2020,316,59.12,18681.92,Delhi,Online,59
Gujarat,1/2/2019,8,Buttermilk,Sudha,214.31,76.41,16375.4271,10,Refrigerated,12/15/2018,12/25/2018,64,74.39,4760.96,Chandigarh,Online,150
Telangana,5/3/2021,1,Milk,Raj,569.38,66.12,37647.4056,1,Polythene Packet,3/10/2021,3/11/2021,1,66.11,66.11,Kerala,Online,568
Chandigarh,3/3/2022,8,Buttermilk,Mother Dairy,563.11,85.61,48207.8471,12,Refrigerated,1/26/2022,2/7/2022,543,82.71,44911.53,West Bengal,Online,20
Delhi,4/15/2022,5,Ice Cream,Dodla Dairy,16.41,65.08,1067.9628,24,Frozen,2/19/2022,3/15/2022,10,62.71,627.1,Chandigarh,Online,6
Jharkhand,9/22/2020,5,Ice Cream,Amul,414.18,62.18,25753.7124,24,Frozen,7/29/2020,8/22/2020,10,66.71,667.1,Kerala,Wholesale,404
Chandigarh,12/26/2019,8,Buttermilk,Sudha,56.33,57.58,3243.4814,9,Refrigerated,12/17/2019,12/26/2019,6,53.49,320.94,Telangana,Online,50
Rajasthan,3/6/2022,8,Buttermilk,Raj,493.17,42.32,20870.9544,14,Refrigerated,1/16/2022,1/30/2022,398,41.01,16321.98,Telangana,Online,95
Bihar,5/19/2021,7,Lassi,Amul,326.08,97.99,31952.5792,12,Refrigerated,4/30/2021,5/12/2021,220,95.8,21076,Madhya Pradesh,Online,106
Kerala,10/1/2019,1,Milk,Raj,951.54,34.47,32799.5838,21,Tetra Pack,9/26/2019,10/17/2019,688,34.28,23584.64,Jharkhand,Wholesale,263
Bihar,10/9/2021,2,Butter,Mother Dairy,577.91,64.08,37032.4728,37,Refrigerated,9/26/2021,11/2/2021,234,62.38,14596.92,Karnataka,Wholesale,343
Chandigarh,7/28/2020,7,Lassi,Amul,35.79,25,894.75,15,Refrigerated,7/2/2020,7/17/2020,7,23.75,166.25,Uttar Pradesh,Retail,28
Haryana,3/20/2020,8,Buttermilk,Amul,322.45,41.83,13488.0835,13,Refrigerated,2/9/2020,2/22/2020,149,39.53,5889.97,Kerala,Online,173
Chandigarh,7/3/2020,8,Buttermilk,Sudha,312.71,91.53,28622.3463,10,Refrigerated,5/21/2020,5/31/2020,74,92.1,6815.4,Chandigarh,Online,238
Jharkhand,4/15/2021,1,Milk,Sudha,391.94,83.59,32762.2646,2,Polythene Packet,2/17/2021,2/19/2021,33,85.31,2815.23,Madhya Pradesh,Retail,358
Delhi,10/15/2019,5,Ice Cream,Amul,72.3,25.33,1831.359,27,Frozen,8/23/2019,9/19/2019,20,25.7,514,Chandigarh,Online,52
Karnataka,8/10/2022,10,Ghee,Mother Dairy,838.49,17.76,14891.5824,76,Ambient,7/24/2022,10/8/2022,717,17.17,12310.89,Chandigarh,Retail,121
Bihar,9/15/2022,6,Curd,Sudha,276.71,57.59,15935.7289,5,Refrigerated,8/7/2022,8/12/2022,156,55.85,8712.6,Tamil Nadu,Online,120
Telangana,2/15/2022,8,Buttermilk,Raj,654.13,19.48,12742.4524,14,Refrigerated,1/13/2022,1/27/2022,414,16.5,6831,West Bengal,Wholesale,240
Chandigarh,6/8/2020,3,Cheese,Britannia Industries,879.44,42.12,37042.0128,40,Frozen,5/27/2020,7/6/2020,726,45.32,32902.32,Delhi,Wholesale,153
Madhya Pradesh,10/3/2021,3,Cheese,Amul,691.73,17.44,12063.7712,63,Refrigerated,9/27/2021,11/29/2021,456,14.19,6470.64,Chandigarh,Retail,235
Rajasthan,6/5/2021,4,Yogurt,Amul,194.76,24.4,4752.144,22,Frozen,4/24/2021,5/16/2021,25,21.4,535,Madhya Pradesh,Online,169
Karnataka,8/5/2022,3,Cheese,Amul,801.77,45.8,36721.066,71,Frozen,8/1/2022,10/11/2022,52,42.03,2185.56,Bihar,Retail,749
Uttar Pradesh,5/22/2020,6,Curd,Raj,9.63,60.5,582.615,5,Refrigerated,4/4/2020,4/9/2020,2,56.53,113.06,Telangana,Retail,7
Delhi,3/2/2020,7,Lassi,Sudha,113.87,30.01,3417.2387,14,Refrigerated,2/24/2020,3/9/2020,19,33.14,629.66,Karnataka,Retail,94
West Bengal,2/13/2020,7,Lassi,Mother Dairy,732.87,93.02,68171.5674,17,Refrigerated,1/25/2020,2/11/2020,5,96.97,484.85,Gujarat,Retail,727
Rajasthan,3/18/2021,4,Yogurt,Mother Dairy,498.06,15.26,7600.3956,25,Frozen,2/28/2021,3/25/2021,372,12.23,4549.56,Uttar Pradesh,Online,126
West Bengal,6/11/2021,8,Buttermilk,Mother Dairy,926.48,61.77,57228.6696,12,Refrigerated,5/10/2021,5/22/2021,46,59.15,2720.9,Gujarat,Wholesale,880
West Bengal,4/1/2020,4,Yogurt,Dodla Dairy,906.38,37.99,34433.3762,23,Refrigerated,3/9/2020,4/1/2020,338,36.39,12299.82,Karnataka,Retail,568
Delhi,1/25/2021,2,Butter,Amul,639.74,47.71,30521.9954,39,Frozen,1/8/2021,2/16/2021,385,49.08,18895.8,Madhya Pradesh,Retail,254
Gujarat,5/17/2022,8,Buttermilk,Raj,921.72,43.25,39864.39,10,Refrigerated,5/14/2022,5/24/2022,228,44.69,10189.32,Delhi,Online,693
Kerala,7/9/2021,3,Cheese,Amul,477.26,65.39,31208.0314,39,Frozen,5/21/2021,6/29/2021,191,63.93,12210.63,Karnataka,Wholesale,286
Bihar,8/17/2019,7,Lassi,Mother Dairy,444.64,86.23,38341.3072,16,Refrigerated,6/21/2019,7/7/2019,188,90.05,16929.4,Karnataka,Online,256
Karnataka,4/23/2022,4,Yogurt,Amul,922.15,23.65,21808.8475,23,Refrigerated,3/4/2022,3/27/2022,298,24.03,7160.94,West Bengal,Retail,624
Kerala,8/5/2019,4,Yogurt,Dodla Dairy,475.72,78.56,37372.5632,22,Frozen,7/16/2019,8/7/2019,417,83.21,34698.57,Madhya Pradesh,Wholesale,58
Uttar Pradesh,12/22/2020,7,Lassi,Sudha,700.15,43.28,30302.492,15,Refrigerated,10/27/2020,11/11/2020,263,45.18,11882.34,Delhi,Wholesale,437
Delhi,11/26/2020,1,Milk,Sudha,717.69,13.58,9746.2302,29,Tetra Pack,11/2/2020,12/1/2020,178,11.34,2018.52,Maharashtra,Online,539
Bihar,3/11/2020,4,Yogurt,Dodla Dairy,720.03,76.71,55233.5013,23,Refrigerated,1/15/2020,2/7/2020,489,77.95,38117.55,Chandigarh,Wholesale,231
Haryana,1/9/2020,10,Ghee,Raj,106,38.06,4034.36,82,Ambient,12/12/2019,3/3/2020,91,42.52,3869.32,Delhi,Retail,15
Rajasthan,8/1/2019,9,Paneer,Mother Dairy,100.34,42.76,4290.5384,7,Refrigerated,6/3/2019,6/10/2019,48,40.1,1924.8,Rajasthan,Wholesale,52
Telangana,6/24/2019,1,Milk,Mother Dairy,22.45,74.82,1679.709,2,Polythene Packet,4/29/2019,5/1/2019,11,71.51,786.61,Rajasthan,Online,11
Telangana,3/13/2020,10,Ghee,Raj,345.34,64.59,22305.5106,97,Ambient,3/2/2020,6/7/2020,157,64.54,10132.78,Chandigarh,Online,188
Tamil Nadu,1/18/2019,5,Ice Cream,Palle2patnam,521.36,86.67,45186.2712,28,Frozen,12/18/2018,1/15/2019,176,81.81,14398.56,Rajasthan,Wholesale,345
Haryana,12/13/2020,5,Ice Cream,Dodla Dairy,581.3,47.29,27489.677,21,Frozen,10/29/2020,11/19/2020,177,49.79,8812.83,Karnataka,Wholesale,404
Telangana,4/26/2020,1,Milk,Raj,182.59,17.56,3206.2804,28,Tetra Pack,4/24/2020,5/22/2020,47,14.7,690.9,Delhi,Online,135
Chandigarh,1/16/2021,5,Ice Cream,Amul,954.64,55.83,53297.5512,29,Frozen,12/30/2020,1/28/2021,913,51.08,46636.04,Bihar,Wholesale,41
Karnataka,12/14/2022,6,Curd,Sudha,747.34,99.07,74038.9738,7,Refrigerated,12/12/2022,12/19/2022,709,101.36,71864.24,Chandigarh,Wholesale,38
Telangana,9/27/2019,9,Paneer,Amul,383.4,98.35,37707.39,13,Refrigerated,9/16/2019,9/29/2019,226,96.27,21757.02,Tamil Nadu,Retail,157
West Bengal,1/23/2021,4,Yogurt,Mother Dairy,398.21,22.37,8907.9577,24,Refrigerated,1/18/2021,2/11/2021,190,22.66,4305.4,Maharashtra,Wholesale,208
Karnataka,2/4/2021,4,Yogurt,Palle2patnam,713.46,33.31,23765.3526,21,Frozen,2/1/2021,2/22/2021,557,29.51,16437.07,Karnataka,Wholesale,156
Uttar Pradesh,6/27/2021,7,Lassi,Sudha,538.34,66.03,35546.5902,15,Refrigerated,5/26/2021,6/10/2021,359,66.4,23837.6,Jharkhand,Wholesale,179
Telangana,1/28/2020,3,Cheese,Britannia Industries,811.35,42.21,34247.0835,62,Refrigerated,1/20/2020,3/22/2020,145,39.38,5710.1,Tamil Nadu,Wholesale,666
Delhi,11/1/2022,7,Lassi,Sudha,481.6,35.82,17250.912,15,Refrigerated,9/29/2022,10/14/2022,279,37.09,10348.11,Delhi,Online,202
Delhi,4/26/2020,9,Paneer,Amul,260.08,27.3,7100.184,14,Refrigerated,3/22/2020,4/5/2020,76,25.21,1915.96,Chandigarh,Online,184
West Bengal,12/2/2022,2,Butter,Mother Dairy,331.21,74.54,24688.3934,26,Frozen,10/16/2022,11/11/2022,217,75.7,16426.9,Karnataka,Online,114
West Bengal,10/17/2021,8,Buttermilk,Mother Dairy,823.26,59.34,48852.2484,10,Refrigerated,9/30/2021,10/10/2021,664,54.82,36400.48,Madhya Pradesh,Wholesale,159
Chandigarh,4/2/2020,7,Lassi,Mother Dairy,349.82,14.55,5089.881,18,Refrigerated,2/28/2020,3/17/2020,140,13.57,1899.8,Madhya Pradesh,Retail,209
Jharkhand,4/16/2022,9,Paneer,Sudha,556.95,87.71,48850.0845,10,Refrigerated,4/6/2022,4/16/2022,480,90.09,43243.2,Maharashtra,Online,76
Chandigarh,12/19/2021,7,Lassi,Mother Dairy,439.9,91.93,40440.007,14,Refrigerated,11/8/2021,11/22/2021,419,89.04,37307.76,Maharashtra,Wholesale,20
Karnataka,10/27/2020,4,Yogurt,Palle2patnam,876.94,87.64,76855.0216,29,Refrigerated,9/2/2020,10/1/2020,820,85.13,69806.6,Madhya Pradesh,Retail,56
Rajasthan,5/24/2019,2,Butter,Mother Dairy,817.4,93.07,76075.418,26,Frozen,5/12/2019,6/7/2019,350,94.86,33201,Karnataka,Online,467
Haryana,11/14/2022,6,Curd,Raj,985.05,73.38,72282.969,6,Refrigerated,10/29/2022,11/4/2022,864,72.9,62985.6,Gujarat,Retail,121
Gujarat,4/17/2022,9,Paneer,Raj,89.69,56.68,5083.6292,13,Refrigerated,4/7/2022,4/20/2022,70,55.8,3906,Maharashtra,Online,19
Bihar,11/14/2021,5,Ice Cream,Palle2patnam,49.6,94.67,4695.632,28,Frozen,11/9/2021,12/7/2021,48,90.37,4337.76,Kerala,Online,1
Rajasthan,9/28/2022,10,Ghee,Raj,128.26,67.93,8712.7018,89,Ambient,9/21/2022,12/19/2022,72,63.68,4584.96,Kerala,Online,56
Bihar,1/14/2019,1,Milk,Raj,396.31,62.56,24793.1536,30,Tetra Pack,11/26/2018,12/26/2018,331,66.64,22057.84,Madhya Pradesh,Online,65
West Bengal,3/26/2020,7,Lassi,Amul,656.31,61.74,40520.5794,12,Refrigerated,2/25/2020,3/8/2020,307,58.99,18109.93,Bihar,Online,349
Jharkhand,5/24/2022,3,Cheese,Amul,381.18,35.24,13432.7832,31,Refrigerated,5/6/2022,6/6/2022,152,39.62,6022.24,Gujarat,Online,229
Gujarat,7/26/2021,8,Buttermilk,Raj,805.83,89.62,72218.4846,7,Refrigerated,6/14/2021,6/21/2021,621,91.44,56784.24,Gujarat,Retail,184
Delhi,4/25/2021,4,Yogurt,Amul,12.6,32.48,409.248,25,Frozen,3/6/2021,3/31/2021,7,32.2,225.4,Madhya Pradesh,Online,5
Delhi,7/11/2020,4,Yogurt,Palle2patnam,879.83,81.27,71503.7841,24,Frozen,6/24/2020,7/18/2020,249,78.84,19631.16,West Bengal,Retail,630
Chandigarh,1/25/2021,2,Butter,Warana,990.76,99.96,99036.3696,40,Refrigerated,1/23/2021,3/4/2021,758,100.59,76247.22,Maharashtra,Online,232
Jharkhand,12/14/2021,5,Ice Cream,Mother Dairy,895.38,21.09,18883.5642,23,Frozen,11/2/2021,11/25/2021,220,23.03,5066.6,Madhya Pradesh,Retail,675
Delhi,11/24/2021,1,Milk,Sudha,93.12,64.03,5962.4736,27,Tetra Pack,11/8/2021,12/5/2021,81,63.48,5141.88,Uttar Pradesh,Wholesale,12
Chandigarh,1/5/2019,9,Paneer,Mother Dairy,184.4,23.97,4420.068,11,Refrigerated,12/18/2018,12/29/2018,18,27.18,489.24,Delhi,Online,166
Rajasthan,4/7/2021,8,Buttermilk,Raj,844.65,88.8,75004.92,11,Refrigerated,3/16/2021,3/27/2021,446,90.06,40166.76,Uttar Pradesh,Wholesale,398
Maharashtra,6/18/2022,6,Curd,Raj,995.31,69.9,69572.169,6,Refrigerated,5/30/2022,6/5/2022,339,65.62,22245.18,Kerala,Online,656
Bihar,6/4/2019,10,Ghee,Mother Dairy,69.32,46.44,3219.2208,108,Ambient,4/21/2019,8/7/2019,35,44.14,1544.9,Delhi,Retail,34
Telangana,9/26/2019,7,Lassi,Amul,480.29,20.95,10062.0755,15,Refrigerated,8/25/2019,9/9/2019,97,23.76,2304.72,Gujarat,Online,383
Gujarat,6/27/2022,4,Yogurt,Amul,275.47,72.5,19971.575,21,Frozen,5/24/2022,6/14/2022,152,72.29,10988.08,Jharkhand,Wholesale,123
Chandigarh,6/4/2022,2,Butter,Amul,489.48,78.61,38478.0228,34,Frozen,5/30/2022,7/3/2022,345,74.71,25774.95,Chandigarh,Wholesale,144
Gujarat,5/11/2019,4,Yogurt,Amul,201.93,59.11,11936.0823,26,Refrigerated,4/12/2019,5/8/2019,66,64.04,4226.64,Kerala,Wholesale,135
Delhi,2/15/2019,6,Curd,Sudha,902.4,28.87,26052.288,7,Refrigerated,2/5/2019,2/12/2019,246,24,5904,Telangana,Wholesale,656
Uttar Pradesh,6/6/2021,1,Milk,Sudha,698.15,24.04,16783.526,1,Polythene Packet,4/29/2021,4/30/2021,174,22.09,3843.66,Tamil Nadu,Wholesale,524
Delhi,9/3/2022,5,Ice Cream,Mother Dairy,838.95,69.16,58021.782,21,Frozen,8/17/2022,9/7/2022,168,68.79,11556.72,Madhya Pradesh,Wholesale,670
Delhi,12/1/2019,7,Lassi,Mother Dairy,248.17,59.55,14778.5235,16,Refrigerated,10/30/2019,11/15/2019,60,64.14,3848.4,Chandigarh,Online,188
Chandigarh,2/15/2022,1,Milk,Sudha,740.61,80.44,59574.6684,22,Tetra Pack,1/10/2022,2/1/2022,416,82.42,34286.72,Chandigarh,Wholesale,324
Maharashtra,3/2/2020,4,Yogurt,Palle2patnam,856.04,48.25,41303.93,29,Refrigerated,1/26/2020,2/24/2020,573,47.49,27211.77,Delhi,Online,283
Maharashtra,12/19/2020,3,Cheese,Amul,669.15,41.05,27468.6075,67,Frozen,12/8/2020,2/13/2021,151,36.71,5543.21,Jharkhand,Retail,518
Maharashtra,9/8/2021,6,Curd,Mother Dairy,547.43,95.31,52175.5533,5,Refrigerated,8/13/2021,8/18/2021,374,95.28,35634.72,Karnataka,Online,173
West Bengal,11/4/2021,9,Paneer,Raj,952.64,70.4,67065.856,13,Refrigerated,10/1/2021,10/14/2021,474,73.84,35000.16,Madhya Pradesh,Online,478
Uttar Pradesh,10/27/2020,7,Lassi,Raj,695,24.81,17242.95,17,Refrigerated,9/21/2020,10/8/2020,208,22.95,4773.6,Jharkhand,Retail,487
Chandigarh,10/8/2021,2,Butter,Mother Dairy,486.57,81.44,39626.2608,25,Refrigerated,8/10/2021,9/4/2021,312,84.07,26229.84,Karnataka,Online,174
Gujarat,12/16/2022,9,Paneer,Sudha,905.11,63.33,57320.6163,12,Refrigerated,11/25/2022,12/7/2022,93,66.69,6202.17,Kerala,Wholesale,812
Gujarat,9/14/2020,2,Butter,Amul,364.61,87.21,31797.6381,38,Frozen,8/30/2020,10/7/2020,123,82.51,10148.73,Maharashtra,Retail,241
Delhi,6/25/2021,6,Curd,Raj,114.62,56.4,6464.568,5,Refrigerated,5/25/2021,5/30/2021,60,59.95,3597,Uttar Pradesh,Retail,54
Telangana,6/13/2019,8,Buttermilk,Mother Dairy,932.07,70.63,65832.1041,8,Refrigerated,5/9/2019,5/17/2019,683,72.21,49319.43,Rajasthan,Online,249
Karnataka,9/22/2022,2,Butter,Mother Dairy,686.82,52.5,36058.05,38,Frozen,8/4/2022,9/11/2022,427,54.55,23292.85,Bihar,Wholesale,259
Rajasthan,3/11/2021,2,Butter,Warana,763.35,45.25,34541.5875,29,Frozen,2/7/2021,3/8/2021,671,48,32208,Bihar,Online,92
Madhya Pradesh,5/17/2022,7,Lassi,Amul,201.75,76.22,15377.385,18,Refrigerated,5/3/2022,5/21/2022,74,71.34,5279.16,West Bengal,Retail,127
Delhi,4/2/2022,1,Milk,Amul,469.25,93.43,43842.0275,29,Tetra Pack,2/20/2022,3/21/2022,359,94.35,33871.65,Haryana,Retail,110
Maharashtra,12/24/2022,3,Cheese,Amul,32.72,56.59,1851.6248,67,Frozen,11/5/2022,1/11/2023,27,61.35,1656.45,Karnataka,Retail,5
Jharkhand,1/6/2021,2,Butter,Parag Milk Foods,590.59,58.52,34561.3268,26,Frozen,11/27/2020,12/23/2020,541,60.77,32876.57,Jharkhand,Wholesale,49
Chandigarh,7/13/2020,10,Ghee,Sudha,93.19,89.34,8325.5946,115,Ambient,7/7/2020,10/30/2020,75,92.82,6961.5,Tamil Nadu,Retail,18
Telangana,12/11/2022,9,Paneer,Sudha,597.32,42.23,25224.8236,7,Refrigerated,12/3/2022,12/10/2022,61,40.46,2468.06,West Bengal,Online,536
Bihar,3/5/2021,7,Lassi,Sudha,686.06,34.07,23374.0642,16,Refrigerated,2/28/2021,3/16/2021,290,32.93,9549.7,Delhi,Online,396
Haryana,2/26/2020,6,Curd,Mother Dairy,730.88,29.29,21407.4752,5,Refrigerated,1/29/2020,2/3/2020,444,25.07,11131.08,Rajasthan,Wholesale,286
Madhya Pradesh,12/15/2022,8,Buttermilk,Mother Dairy,915.04,82.09,75115.6336,8,Refrigerated,11/10/2022,11/18/2022,787,77.36,60882.32,Chandigarh,Retail,128
Telangana,1/22/2021,7,Lassi,Sudha,109.49,30.25,3312.0725,12,Refrigerated,12/11/2020,12/23/2020,91,28.52,2595.32,West Bengal,Online,18
Telangana,1/9/2021,7,Lassi,Raj,574.13,75.58,43392.7454,14,Refrigerated,11/24/2020,12/8/2020,484,71.17,34446.28,Madhya Pradesh,Retail,90
Haryana,4/27/2022,4,Yogurt,Palle2patnam,110.34,18.66,2058.9444,24,Refrigerated,3/8/2022,4/1/2022,76,19.39,1473.64,Telangana,Retail,34
Gujarat,7/23/2021,1,Milk,Amul,297.98,95.2,28367.696,26,Tetra Pack,6/18/2021,7/14/2021,282,94.09,26533.38,Uttar Pradesh,Online,15
Chandigarh,6/6/2020,6,Curd,Sudha,974.02,83.47,81301.4494,7,Refrigerated,5/11/2020,5/18/2020,243,87.47,21255.21,Maharashtra,Retail,731
Delhi,6/3/2022,3,Cheese,Dynamix Dairies,750.3,79.7,59798.91,31,Refrigerated,4/11/2022,5/12/2022,653,78.76,51430.28,Rajasthan,Wholesale,97
Delhi,2/25/2021,10,Ghee,Amul,514.58,99.22,51056.6276,78,Ambient,2/12/2021,5/1/2021,264,97.52,25745.28,Delhi,Online,250
Telangana,6/16/2021,9,Paneer,Sudha,799.93,80.65,64514.3545,9,Refrigerated,5/21/2021,5/30/2021,171,83.74,14319.54,Delhi,Online,628
Uttar Pradesh,3/13/2020,9,Paneer,Mother Dairy,748.34,45.93,34371.2562,10,Refrigerated,3/10/2020,3/20/2020,592,47.2,27942.4,Uttar Pradesh,Wholesale,156
Rajasthan,8/10/2021,7,Lassi,Sudha,329.82,11.47,3783.0354,13,Refrigerated,7/14/2021,7/27/2021,159,13.39,2129.01,Telangana,Online,170
Chandigarh,5/27/2021,10,Ghee,Amul,648.1,92.22,59767.782,90,Ambient,4/12/2021,7/11/2021,479,93.1,44594.9,Gujarat,Retail,169
Chandigarh,6/11/2020,8,Buttermilk,Amul,564.28,74.1,41813.148,10,Refrigerated,5/10/2020,5/20/2020,180,74.13,13343.4,West Bengal,Online,384
Gujarat,11/28/2019,7,Lassi,Amul,545.17,68.97,37600.3749,17,Refrigerated,10/21/2019,11/7/2019,336,71.51,24027.36,Gujarat,Retail,209
Madhya Pradesh,5/19/2019,7,Lassi,Amul,871.65,12.01,10468.5165,18,Refrigerated,3/20/2019,4/7/2019,509,16.18,8235.62,Madhya Pradesh,Online,362
Maharashtra,8/6/2022,3,Cheese,Passion Cheese,581.68,28.44,16542.9792,63,Frozen,7/15/2022,9/16/2022,238,30.66,7297.08,Bihar,Retail,343
Madhya Pradesh,6/1/2019,5,Ice Cream,Amul,463.44,88.15,40852.236,23,Frozen,5/27/2019,6/19/2019,366,86.4,31622.4,Gujarat,Retail,97
Haryana,3/1/2019,1,Milk,Sudha,672.53,55.42,37271.6126,1,Polythene Packet,2/1/2019,2/2/2019,7,59.62,417.34,Telangana,Retail,665
West Bengal,2/6/2022,10,Ghee,Amul,633.8,11.44,7250.672,131,Ambient,1/5/2022,5/16/2022,543,14.69,7976.67,Maharashtra,Online,90
Jharkhand,6/2/2022,8,Buttermilk,Sudha,513.67,85.61,43975.2887,9,Refrigerated,5/9/2022,5/18/2022,410,90.17,36969.7,Gujarat,Wholesale,103
Kerala,11/5/2022,1,Milk,Raj,470.46,86.27,40586.5842,22,Tetra Pack,9/9/2022,10/1/2022,237,85.19,20190.03,Bihar,Wholesale,233
Telangana,6/26/2022,9,Paneer,Mother Dairy,568.61,39.81,22636.3641,7,Refrigerated,5/31/2022,6/7/2022,28,44.68,1251.04,Delhi,Retail,540
Madhya Pradesh,5/2/2022,10,Ghee,Raj,141.98,84.84,12045.5832,119,Ambient,3/26/2022,7/23/2022,85,87.83,7465.55,Delhi,Online,56
Haryana,9/7/2019,4,Yogurt,Amul,311.19,63.35,19713.8865,25,Frozen,7/11/2019,8/5/2019,97,60.67,5884.99,Delhi,Retail,214
Delhi,2/16/2021,9,Paneer,Raj,33.79,80.49,2719.7571,10,Refrigerated,1/27/2021,2/6/2021,29,83.71,2427.59,Chandigarh,Online,4
Rajasthan,1/6/2022,4,Yogurt,Palle2patnam,950.98,12.76,12134.5048,24,Frozen,12/2/2021,12/26/2021,828,7.86,6508.08,Bihar,Online,122
Bihar,10/21/2020,9,Paneer,Amul,450.53,96.56,43503.1768,11,Refrigerated,9/20/2020,10/1/2020,18,92.57,1666.26,Jharkhand,Retail,432
Telangana,6/8/2022,10,Ghee,Sudha,600.91,41.93,25196.1563,74,Ambient,4/24/2022,7/7/2022,440,44.5,19580,West Bengal,Online,160
Madhya Pradesh,6/6/2020,2,Butter,Parag Milk Foods,310.03,67.29,20861.9187,26,Frozen,4/30/2020,5/26/2020,90,70.51,6345.9,Rajasthan,Online,220
Bihar,3/9/2021,8,Buttermilk,Raj,503.61,69.3,34900.173,12,Refrigerated,1/24/2021,2/5/2021,82,69.46,5695.72,West Bengal,Wholesale,421
Maharashtra,9/14/2019,1,Milk,Sudha,317.51,97.8,31052.478,2,Polythene Packet,8/24/2019,8/26/2019,96,93.17,8944.32,Telangana,Online,221
Chandigarh,4/2/2021,9,Paneer,Amul,823.99,60.98,50246.9102,13,Refrigerated,2/20/2021,3/5/2021,493,57.94,28564.42,Jharkhand,Retail,330
Haryana,5/9/2022,1,Milk,Raj,840.26,19.22,16149.7972,29,Tetra Pack,3/21/2022,4/19/2022,586,16.01,9381.86,Rajasthan,Retail,254
Karnataka,9/7/2022,7,Lassi,Amul,590.3,81.28,47979.584,15,Refrigerated,9/2/2022,9/17/2022,88,83.64,7360.32,West Bengal,Online,502
Jharkhand,6/17/2021,1,Milk,Amul,356.43,70.69,25196.0367,30,Tetra Pack,4/21/2021,5/21/2021,311,71.87,22351.57,Delhi,Online,45
Rajasthan,2/10/2021,3,Cheese,Britannia Industries,876.31,96.72,84756.7032,41,Refrigerated,12/25/2020,2/4/2021,18,100.49,1808.82,Tamil Nadu,Wholesale,858
Telangana,6/18/2019,2,Butter,Parag Milk Foods,452.38,88.27,39931.5826,37,Frozen,5/20/2019,6/26/2019,350,85.67,29984.5,Bihar,Wholesale,102
Haryana,12/14/2021,2,Butter,Amul,369.64,71.23,26329.4572,30,Refrigerated,12/11/2021,1/10/2022,166,73.02,12121.32,Delhi,Online,203
Rajasthan,1/16/2022,1,Milk,Amul,204.7,27.94,5719.318,23,Tetra Pack,12/28/2021,1/20/2022,176,32.27,5679.52,West Bengal,Wholesale,28
West Bengal,10/2/2019,4,Yogurt,Mother Dairy,62.75,39.58,2483.645,23,Refrigerated,8/7/2019,8/30/2019,6,35.04,210.24,Delhi,Retail,56
Chandigarh,11/2/2020,1,Milk,Raj,280.74,50.06,14053.8444,29,Tetra Pack,9/7/2020,10/6/2020,178,50.84,9049.52,Maharashtra,Retail,102
